day,year,mo,da,collision_date,NUM_COLLISIONS,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud
6,2021,01,30,2021-01-30,284,19.2,11.2,1020.3,9.5,15.3,27,40.0,23.0,10.9,0.0,999.9,1,0,0,0,1000,1000
7,2020,01,05,2020-01-05,291,40.1,33.8,1001.6,7.1,17,27,38.1,48.9,36.0,0.38,999.9,1,1,0,0,0,0
6,2022,01,15,2022-01-15,235,24.2,11.7,1014.8,8.8,23,33,54.0,37.0,16.0,0.39,999.9,1,0,0,0,1000,1000
5,2022,01,14,2022-01-14,287,45.0,41.8,1006.4,7.2,17.2,40,52.1,48.9,27.0,0.06,999.9,1,1,0,0,0,11000
6,2022,01,29,2022-01-29,276,34.4,30.6,1002.7,3.7,28.1,46,61.0,42.1,26.1,0.53,999.9,1,1,1,0,0,0
3,2020,01,22,2020-01-22,489,27.1,14.3,1029.8,10.0,4.2,8.9,999.9,34.0,17.1,0.0,999.9,0,0,0,0,0,0
4,2016,01,28,2016-01-28,681,35.0,24.4,1016.1,10.0,4.3,8.9,999.9,46.0,23.0,0.09,999.9,0,0,0,0,0,0
2,2020,01,14,2020-01-14,497,41.5,37.7,1026.2,8.8,5.3,8.9,999.9,44.1,37.9,0.0,999.9,0,0,0,0,0,0
5,2014,01,17,2014-01-17,589,38.6,35.8,1014.8,6.7,3.7,8.9,999.9,44.1,32.0,0.0,999.9,1,0,0,0,0,0
1,2021,01,11,2021-01-11,238,32.6,27.9,1024.6,10.0,4.5,8.9,999.9,44.1,21.0,0.0,999.9,0,0,0,0,0,0
5,2020,01,31,2020-01-31,518,29.8,22.3,1027.4,10.0,3.3,8.9,999.9,39.9,19.0,0.0,999.9,0,0,0,0,0,0
1,2016,01,25,2016-01-25,658,33.5,21.2,1021.4,10.0,6.5,8.9,999.9,37.9,30.0,0.02,999.9,0,0,0,0,0,0
5,2016,01,29,2016-01-29,645,41.3,36.8,999.4,10.0,5.9,9.9,999.9,45.0,23.0,0.0,999.9,0,0,0,0,0,0
6,2020,01,04,2020-01-04,353,45.4,43.9,1005.6,3.6,5.7,9.9,999.9,48.9,44.1,0.08,999.9,1,1,0,0,0,0
3,2021,01,13,2021-01-13,245,35.8,25.2,1016.4,10.0,5.8,9.9,999.9,42.1,27.0,0.0,999.9,0,0,0,0,0,0
5,2017,01,20,2017-01-20,605,39.9,32.5,1015.5,10.0,4.3,9.9,999.9,45.0,37.0,0.0,999.9,0,0,0,0,0,0
7,2013,01,13,2013-01-13,373,45.4,44.9,1020.7,4.3,5.8,9.9,999.9,46.9,44.1,0.01,999.9,1,0,0,0,0,0
2,2013,01,29,2013-01-29,542,35.4,34.9,1019.0,2.6,4.9,9.9,999.9,37.4,33.1,0.08,999.9,1,1,0,0,0,0
5,2014,01,10,2014-01-10,667,28.8,22.6,1034.1,9.7,5.8,11.1,999.9,39.2,12.9,0.0,999.9,0,0,1,0,0,0
1,2022,01,31,2022-01-31,311,22.9,6.6,1025.3,10.0,5.9,11.1,999.9,30.0,12.0,0.0,999.9,0,0,0,0,0,0
4,2021,01,14,2021-01-14,253,41.3,35.5,1011.5,8.8,5.7,11.1,999.9,46.0,30.9,0.0,999.9,0,0,0,0,0,0
4,2020,01,23,2020-01-23,451,32.3,26.5,1029.2,9.7,4.7,11.1,999.9,45.0,17.1,0.0,999.9,0,0,0,0,0,0
4,2014,01,16,2014-01-16,521,40.8,39.3,1010.6,4.6,5.9,11.1,999.9,46.0,32.0,0.0,999.9,0,0,0,0,0,0
3,2013,01,09,2013-01-09,487,39.9,37.6,1026.2,6.8,5.3,11.1,999.9,46.0,28.0,0.0,999.9,1,0,0,0,0,0
5,2021,01,15,2021-01-15,272,41.3,35.3,1015.4,8.7,6.6,11.1,999.9,46.0,34.0,0.0,999.9,0,0,0,0,0,0
1,2018,01,22,2018-01-22,559,36.4,35.9,1023.6,7.6,4.0,11.1,999.9,48.9,27.0,0.0,999.9,0,1,0,0,0,0
6,2022,01,01,2022-01-01,283,50.4,47.4,1013.2,7.0,5.9,11.1,999.9,54.0,46.9,0.02,999.9,1,1,0,0,0,0
5,2013,01,11,2013-01-11,660,38.0,31.4,1030.6,10.0,5.4,11.1,999.9,44.1,32.0,0.0,999.9,0,0,0,0,0,0
4,2015,01,22,2015-01-22,508,35.5,30.5,1021.0,8.4,8.4,12.0,999.9,39.0,25.0,0.13,999.9,0,0,1,0,0,0
3,2018,01,03,2018-01-03,645,25.6,18.3,1025.1,10.0,6.7,12.0,999.9,35.1,10.9,0.0,999.9,0,0,0,0,0,0
7,2018,01,21,2018-01-21,418,39.7,31.7,1018.2,10.0,7.2,12.0,999.9,48.9,28.0,0.0,999.9,0,0,0,0,0,0
7,2016,01,17,2016-01-17,451,40.2,32.3,1007.3,9.2,7.7,12.0,18.1,51.1,36.0,0.77,999.9,0,1,0,0,0,0
1,2014,01,13,2014-01-13,568,38.6,31.2,1018.7,9.2,7.7,12.0,999.9,46.9,28.9,0.01,999.9,0,0,0,0,0,0
4,2014,01,09,2014-01-09,561,23.5,8.3,1034.2,10.0,7.9,12.0,20.0,28.9,12.0,0.0,999.9,0,0,0,0,0,0
4,2018,01,11,2018-01-11,696,38.5,38.0,1030.1,10.0,8.6,12.0,999.9,45.0,21.9,0.0,999.9,0,0,0,0,0,0
1,2017,01,02,2017-01-02,449,37.4,28.7,1032.0,10.0,7.1,12.0,999.9,50.0,26.1,0.03,999.9,0,1,0,0,0,0
6,2019,01,19,2019-01-19,479,34.5,29.7,1022.0,9.8,6.9,13.0,21.0,39.9,30.9,0.07,999.9,0,0,1,0,0,0
7,2015,01,11,2015-01-11,341,27.1,12.1,1035.5,10.0,8.8,13.0,17.1,37.0,19.9,0.0,999.9,0,0,0,0,0,0
2,2019,01,15,2019-01-15,618,29.4,18.7,1017.5,10.0,7.4,13.0,999.9,35.1,21.9,0.0,999.9,0,0,0,0,0,0
5,2017,01,06,2017-01-06,600,31.7,25.8,1015.2,6.1,8.9,13.0,999.9,41.0,28.9,0.03,999.9,1,0,1,0,0,0
4,2015,01,29,2015-01-29,519,29.2,20.9,1022.9,10.0,8.5,13.0,20.0,36.0,19.0,0.0,999.9,0,0,0,0,0,0
3,2015,01,21,2015-01-21,495,32.3,17.7,1018.1,10.0,7.9,13.0,999.9,39.0,25.0,0.0,999.9,0,0,0,0,0,0
7,2019,01,13,2019-01-13,374,26.0,12.8,1030.5,10.0,8.0,13.0,15.9,30.9,18.0,0.0,999.9,0,0,0,0,0,0
5,2019,01,18,2019-01-18,596,33.2,28.1,1023.0,8.3,6.8,13.0,999.9,39.9,23.0,0.0,999.9,0,1,1,0,0,0
5,2016,01,15,2016-01-15,722,36.5,25.6,1014.8,10.0,7.2,13.0,999.9,45.0,24.1,0.0,999.9,0,0,0,0,0,0
6,2013,01,12,2013-01-12,475,42.7,41.5,1022.6,7.1,7.9,13.0,20.0,46.4,39.2,0.17,999.9,0,1,0,0,0,0
3,2015,01,14,2015-01-14,506,32.1,24.0,1031.2,8.0,9.6,13.0,22.9,37.0,26.1,0.15,999.9,0,1,1,0,0,0
4,2016,01,07,2016-01-07,542,40.5,29.9,1026.9,10.0,6.8,13.0,999.9,46.9,24.1,0.0,999.9,0,0,0,0,0,0
3,2019,01,23,2019-01-23,553,31.6,23.8,1029.6,9.4,8.3,13.0,999.9,42.1,8.1,0.0,999.9,0,0,0,0,0,0
2,2019,01,29,2019-01-29,681,33.8,23.7,1016.7,10.0,9.6,14.0,999.9,42.1,30.0,0.0,999.9,0,0,0,0,0,0
3,2019,01,02,2019-01-02,502,35.0,23.4,1022.9,10.0,10.3,14.0,24.1,55.0,28.0,0.61,999.9,0,0,0,0,0,0
3,2014,01,29,2014-01-29,649,20.3,10.4,1021.2,6.3,8.1,14.0,999.9,27.0,17.1,0.02,999.9,0,0,1,0,0,0
4,2017,01,19,2017-01-19,610,40.7,36.9,1014.4,7.4,7.6,14.0,22.0,45.0,37.0,0.1,999.9,0,0,0,0,0,0
1,2013,01,28,2013-01-28,507,27.3,10.8,1028.9,8.8,7.4,14.0,20.0,32.0,21.9,0.0,999.9,0,1,1,0,0,0
2,2017,01,17,2017-01-17,657,40.0,30.9,1023.1,9.6,8.4,14.0,21.0,44.1,37.0,0.0,999.9,0,1,0,0,0,0
4,2013,01,17,2013-01-17,491,39.4,34.6,1014.2,8.6,8.6,14.0,20.0,41.0,37.0,0.47,999.9,1,0,0,0,0,0
1,2015,01,12,2015-01-12,580,40.9,35.6,1028.3,7.7,6.3,14.0,29.9,52.0,21.0,0.0,999.9,1,1,0,0,0,0
2,2016,01,12,2016-01-12,637,33.0,19.1,1015.4,10.0,7.9,14.0,999.9,50.0,19.9,0.0,999.9,0,0,0,0,0,0
3,2018,01,17,2018-01-17,611,36.0,35.2,1024.3,5.5,7.7,14.0,999.9,41.0,28.0,0.17,999.9,1,1,1,0,0,0
3,2018,01,10,2018-01-10,687,31.4,24.2,1029.7,10.0,6.6,14.0,999.9,42.1,21.9,0.0,999.9,0,0,0,0,0,0
2,2013,01,15,2013-01-15,516,42.3,38.3,1023.1,9.5,8.0,15.0,999.9,48.9,39.0,0.24,999.9,0,1,0,0,0,0
5,2015,01,30,2015-01-30,622,35.1,31.1,1012.2,8.4,8.1,15.0,999.9,41.0,23.0,0.0,999.9,0,1,0,0,0,0
3,2016,01,27,2016-01-27,670,43.0,36.7,1014.0,7.5,9.4,15.0,999.9,48.0,36.0,0.0,999.9,0,1,0,0,0,0
7,2017,01,29,2017-01-29,428,38.0,26.4,1005.7,9.9,10.2,15.0,22.0,43.0,34.0,0.0,999.9,0,1,1,0,0,0
5,2014,01,31,2014-01-31,560,33.7,26.7,1020.9,9.9,9.1,15.0,19.0,37.4,28.9,0.0,999.9,0,0,0,0,0,0
7,2017,01,22,2017-01-22,411,43.2,40.4,1008.1,4.5,8.4,15.0,21.0,53.1,39.0,0.0,999.9,1,0,0,0,0,0
2,2014,01,14,2014-01-14,559,45.5,43.2,1012.5,5.2,11.8,15.0,22.0,48.0,28.9,0.0,999.9,1,1,0,0,0,0
1,2017,01,16,2017-01-16,477,31.6,20.7,1029.0,10.0,6.2,15.0,18.1,43.0,21.0,0.0,999.9,0,0,0,0,0,0
1,2017,01,30,2017-01-30,545,34.0,23.1,1006.1,9.7,6.5,15.0,22.0,43.0,24.1,0.0,999.9,0,0,1,0,0,0
6,2016,01,30,2016-01-30,596,37.8,27.3,1011.0,10.0,11.6,15.0,22.9,45.0,34.0,0.0,999.9,0,0,0,0,0,0
5,2018,01,19,2018-01-19,599,28.9,21.4,1014.3,10.0,10.5,15.0,21.0,34.0,24.1,0.0,999.9,0,0,0,0,0,0
7,2013,01,06,2013-01-06,393,35.7,31.3,1019.7,9.8,5.9,15.0,20.0,44.1,23.0,0.01,999.9,0,1,0,0,0,0
4,2018,01,18,2018-01-18,634,32.4,29.5,1013.5,8.4,10.2,15.0,19.0,41.0,28.9,0.04,999.9,0,0,0,0,0,0
3,2013,01,02,2013-01-02,480,27.5,12.1,1013.4,10.0,12.4,15.9,25.1,33.1,21.9,0.0,999.9,0,0,0,0,0,0
6,2019,01,26,2019-01-26,533,30.5,15.4,1022.6,10.0,7.9,15.9,21.0,37.9,21.0,0.0,999.9,0,0,0,0,0,0
3,2014,01,15,2014-01-15,583,41.1,38.4,1013.3,6.5,6.0,15.9,24.1,48.9,32.0,0.62,999.9,0,1,0,0,0,0
2,2020,01,21,2020-01-21,556,27.8,15.2,1026.8,10.0,11.5,15.9,999.9,34.0,21.9,0.0,999.9,0,0,0,0,0,0
5,2014,01,24,2014-01-24,705,14.8,-0.5,1022.4,10.0,11.8,15.9,22.9,23.0,9.0,0.0,999.9,0,0,0,0,0,0
4,2022,01,20,2022-01-20,246,42.7,36.8,1016.5,7.8,10.5,15.9,21.0,48.9,35.6,0.0,999.9,1,1,0,0,0,11000
7,2022,01,02,2022-01-02,176,52.1,50.4,1001.8,2.0,6.6,15.9,25.1,55.0,46.9,0.41,999.9,1,1,0,0,0,0
2,2021,01,19,2021-01-19,261,35.8,23.9,1013.2,10.0,11.3,15.9,22.9,45.0,28.9,0.0,999.9,0,0,0,0,0,0
5,2022,01,28,2022-01-28,283,36.6,24.5,1021.3,10.0,9.6,15.9,999.9,42.1,21.9,0.0,999.9,0,0,0,0,0,0
6,2016,01,09,2016-01-09,554,45.9,38.6,1022.7,10.0,9.3,15.9,21.0,50.0,30.9,0.0,999.9,0,0,0,0,0,0
6,2013,01,26,2013-01-26,558,24.4,16.6,1016.4,8.6,10.5,15.9,19.0,28.0,21.9,0.0,999.9,0,0,1,0,0,0
5,2015,01,23,2015-01-23,598,31.6,20.4,1022.8,10.0,10.4,15.9,999.9,39.0,27.0,0.09,999.9,0,0,0,0,0,0
1,2013,01,14,2013-01-14,542,47.2,47.1,1017.5,1.3,8.2,15.9,21.0,51.8,44.6,0.0,999.9,1,0,0,0,0,0
4,2014,01,30,2014-01-30,657,22.0,5.8,1027.2,10.0,8.1,15.9,24.1,27.0,12.9,0.01,999.9,0,0,0,0,0,0
4,2021,01,21,2021-01-21,251,30.9,20.6,1010.2,10.0,10.4,17.1,22.9,41.0,19.9,0.0,999.9,0,0,0,0,0,0
4,2019,01,17,2019-01-17,586,29.4,15.0,1024.6,10.0,11.2,17.1,25.1,43.0,19.0,0.0,999.9,0,0,0,0,0,0
4,2018,01,25,2018-01-25,602,28.0,12.4,1021.1,10.0,13.2,17.1,24.1,44.1,23.0,0.0,999.9,0,0,0,0,0,0
7,2016,01,31,2016-01-31,532,45.0,39.0,1014.8,8.6,12.5,17.1,24.1,50.0,34.0,0.0,999.9,0,0,0,0,0,0
2,2020,01,28,2020-01-28,404,39.4,28.8,1005.1,10.0,9.8,17.1,21.0,45.0,36.0,0.0,999.9,0,0,0,0,0,0
3,2022,01,26,2022-01-26,265,31.3,15.1,1021.4,10.0,13,17.1,22.9,48.9,26.1,0.0,999.9,0,0,0,0,0,0
6,2017,01,21,2017-01-21,475,42.3,37.5,1011.3,6.7,7.5,17.1,20.0,46.0,37.0,0.0,999.9,1,1,0,0,0,0
4,2021,01,07,2021-01-07,285,36.5,26.1,1012.8,10.0,11.9,17.1,22.0,41.0,33.1,0.0,999.9,0,0,0,0,0,0
7,2018,01,14,2018-01-14,494,27.0,21.7,1028.8,10.0,14.5,17.1,25.1,30.9,24.8,0.01,999.9,0,0,0,0,0,0
3,2020,01,29,2020-01-29,495,35.3,22.5,1013.1,10.0,12.9,17.1,22.9,43.0,30.0,0.0,999.9,0,0,0,0,0,0
7,2019,01,27,2019-01-27,445,35.1,28.2,1021.8,9.9,7.8,17.1,999.9,44.1,21.0,0.0,999.9,0,0,1,0,0,0
3,2021,01,20,2021-01-20,253,34.7,25.5,1013.0,9.5,9.2,17.1,21.0,41.0,28.9,0.01,999.9,1,0,0,0,1000,1000
6,2015,01,03,2015-01-03,456,34.5,19.8,1033.9,9.5,11.1,17.1,26.0,45.0,30.0,0.0,999.9,0,1,1,0,0,0
2,2016,01,26,2016-01-26,734,42.2,36.4,1021.5,9.1,11.1,17.1,999.9,48.2,28.9,0.0,999.9,0,0,0,0,0,0
5,2016,01,01,2016-01-01,393,41.2,28.0,1015.1,9.8,10.2,17.1,24.1,44.1,37.4,0.43,999.9,0,1,0,0,0,0
4,2022,01,27,2022-01-27,270,25.5,12.9,1029.6,10.0,9.8,17.1,25.1,34.0,21.9,0.0,999.9,0,0,0,0,0,0
2,2013,01,08,2013-01-08,513,39.8,34.1,1028.8,9.8,10.4,17.1,25.1,48.0,25.0,0.0,999.9,0,0,0,0,0,0
1,2014,01,27,2014-01-27,511,38.8,32.3,1008.0,8.8,12.3,17.1,22.9,45.0,21.0,0.0,999.9,0,0,0,0,0,0
5,2020,01,10,2020-01-10,522,39.7,32.2,1036.6,9.3,11.3,17.1,24.1,50.0,21.0,0.0,999.9,0,0,0,0,0,0
6,2015,01,10,2015-01-10,481,26.9,10.0,1025.0,10.0,10.2,17.1,22.0,30.0,21.9,0.0,999.9,0,0,0,0,0,0
1,2013,01,07,2013-01-07,521,35.9,31.0,1020.5,8.8,8.5,17.1,22.0,42.1,28.0,0.01,999.9,0,0,0,0,0,0
4,2015,01,15,2015-01-15,548,35.8,33.6,1015.5,2.8,14.1,17.1,24.1,37.9,28.0,0.03,999.9,0,1,1,0,0,0
3,2016,01,06,2016-01-06,625,33.5,19.3,1033.1,10.0,8.3,17.1,999.9,45.0,21.0,0.0,999.9,0,0,0,0,0,0
4,2022,01,06,2022-01-06,232,45.9,37.8,1008.6,8.2,10.8,17.1,24.1,53.1,37.0,0.68,999.9,1,0,0,0,0,10000
6,2020,01,18,2020-01-18,774,23.5,14.3,1032.4,9.6,8.4,17.1,29.9,33.1,19.0,0.0,999.9,1,0,0,0,1000,1000
2,2014,01,28,2014-01-28,504,22.2,-1.3,1020.6,10.0,10.7,17.1,25.1,45.0,17.1,0.0,999.9,0,0,0,0,0,0
3,2014,01,08,2014-01-08,616,18.2,5.0,1028.1,10.0,12.0,17.1,26.0,34.0,12.0,0.0,999.9,0,0,0,0,0,0
7,2022,01,16,2022-01-16,266,25.2,14.5,1027.2,10.0,9,17.1,22.0,35.1,15.1,0.0,999.9,0,0,0,0,0,0
5,2019,01,04,2019-01-04,598,39.0,30.2,1014.4,9.8,9.9,18.1,26.0,46.9,30.9,0.01,999.9,0,0,0,0,0,0
6,2021,01,09,2021-01-09,244,32.9,26.8,1008.0,9.7,11.8,18.1,26.0,37.0,24.1,0.0,999.9,1,0,0,0,1000,1000
7,2014,01,05,2014-01-05,320,37.8,33.5,1026.0,9.0,8.6,18.1,25.1,42.1,27.0,0.0,999.9,0,0,0,0,0,0
5,2019,01,11,2019-01-11,644,28.6,13.4,1013.9,10.0,14.2,18.1,26.0,37.0,26.1,0.0,999.9,0,0,0,0,0,0
7,2022,01,23,2022-01-23,227,33.6,22.7,1014.2,10.0,10.8,18.1,21.0,39.9,25.0,0.0,999.9,0,0,0,0,0,0
7,2018,01,28,2018-01-28,412,43.4,43.2,1025.3,4.4,9.5,18.1,999.9,46.0,28.9,0.01,999.9,1,1,0,0,0,0
4,2017,01,26,2017-01-26,563,44.3,39.9,997.4,9.0,9.7,18.1,24.1,50.0,37.9,0.02,999.9,0,1,0,0,0,0
7,2017,01,01,2017-01-01,485,44.4,33.6,1017.4,9.0,13.4,18.1,27.0,48.0,39.0,0.03,999.9,0,1,0,0,0,0
6,2018,01,27,2018-01-27,510,36.8,30.7,1034.3,10.0,12.2,18.1,24.1,46.0,17.1,0.0,999.9,0,0,0,0,0,0
1,2020,01,27,2020-01-27,452,40.1,33.8,1004.3,10.0,10.5,18.1,24.1,51.1,36.0,0.01,999.9,0,0,0,0,0,0
3,2022,01,19,2022-01-19,252,35.5,20.7,1020.2,9.6,11.4,18.1,27.0,48.9,18.0,0.0,999.9,0,0,0,0,0,0
7,2021,01,10,2021-01-10,177,35.6,29.2,1016.4,9.3,13.8,18.1,22.9,39.0,27.0,0.0,999.9,1,0,0,0,1000,1000
3,2018,01,31,2018-01-31,596,25.0,14.8,1019.2,10.0,13.1,18.1,25.1,37.0,19.9,0.18,999.9,0,0,0,0,0,0
4,2013,01,03,2013-01-03,549,21.8,7.8,1018.1,10.0,9.8,18.1,24.1,28.9,16.0,0.0,999.9,0,0,0,0,0,0
1,2018,01,01,2018-01-01,453,9.5,-0.5,1022.2,10.0,15.0,18.1,25.1,21.0,5.0,0.0,999.9,0,0,0,0,0,0
6,2017,01,14,2017-01-14,495,29.8,13.4,1035.9,10.0,10.2,18.1,25.1,50.0,25.0,0.0,999.9,0,0,0,0,0,0
1,2017,01,09,2017-01-09,669,18.3,5.7,1035.5,10.0,11.0,18.1,22.9,28.0,15.1,0.0,999.9,0,0,0,0,0,0
6,2016,01,02,2016-01-02,422,37.7,22.9,1014.3,10.0,12.5,19.0,25.1,44.1,34.0,0.03,999.9,0,0,0,0,0,0
1,2019,01,28,2019-01-28,565,35.7,27.3,1016.0,9.8,11.3,19.0,26.0,44.1,28.9,0.0,999.9,0,0,0,0,0,0
2,2017,01,31,2017-01-31,571,28.1,14.6,1013.1,8.2,9.8,19.0,28.0,39.9,21.9,0.0,999.9,1,0,1,0,0,0
2,2019,01,08,2019-01-08,571,36.3,30.8,1025.7,6.7,9.3,19.0,999.9,46.9,21.9,0.0,999.9,1,1,0,0,0,0
3,2013,01,30,2013-01-30,497,45.1,44.0,1013.9,4.4,12.4,19.0,25.1,48.2,37.0,0.03,999.9,1,1,0,0,0,0
5,2015,01,02,2015-01-02,442,40.4,21.5,1018.3,10.0,13.1,19.0,31.1,45.0,28.0,0.0,999.9,0,0,0,0,0,0
5,2018,01,12,2018-01-12,704,43.7,43.7,1021.7,5.6,13.4,19.0,27.0,48.0,30.9,0.0,999.9,1,1,0,0,0,0
3,2019,01,16,2019-01-16,579,31.3,23.1,1017.3,9.8,9.1,19.0,26.0,43.0,19.0,0.0,999.9,0,0,0,0,0,0
7,2018,01,07,2018-01-07,475,9.3,-0.5,1028.3,10.0,12.7,19.0,27.0,19.9,1.9,0.0,999.9,0,0,0,0,0,0
6,2019,01,12,2019-01-12,520,23.1,3.7,1029.0,10.0,12.9,19.0,28.0,32.0,18.0,0.0,999.9,0,0,0,0,0,0
